name,ind_C1,ind_C3,ind_C4,weighted_mean,iso_a3
W. Sahara,1.5,,,1.5,ESH
New Caledonia,1.5,,,1.5,NCL
Falkland Is.,1.5,,,1.5,FLK
Antarctica,1.5,,,1.5,ATA
Fr. S. Antarctic Lands,1.5,,,1.5,ATF
Brunei,1.5,,0.981361477137943,1.2406807385689715,BRN
Taiwan,1.5,0.9580332712225748,,1.2290166356112873,TWN
Laos,1.5,0.9580332712225748,,1.2290166356112873,LAO
North Korea,1.4995145473963558,0.9253999429252489,,1.2124572451608024,PRK
Vietnam,1.4990290947927116,0.9194238807473434,,1.2092264877700276,VNM
Thailand,1.4952425644842875,0.9040808447063167,,1.199661704595302,THA
Lesotho,1.5,0.8573131221567538,,1.1786565610783768,LSO
Djibouti,1.5,0.838847761494687,,1.1694238807473436,DJI
Indonesia,1.493203663548982,0.8433130214366049,,1.1682583424927935,IDN
Solomon Is.,1.5,0.8265263299256349,,1.1632631649628173,SLB
Switzerland,1.5,0.9999999999999998,0.9814593810989124,1.160486460366304,CHE
Gambia,1.5,0.8209531483439927,,1.1604765741719962,GMB
Czechia,1.5,0.9976162898054424,0.9828434827962593,1.1601532575339006,CZE
Luxembourg,1.5,0.9999999999999998,0.975994761759379,1.1586649205864596,LUX
Eq. Guinea,1.5,0.8153463933793288,,1.1576731966896645,GNQ
Spain,1.5,0.9962733544845646,0.976569106081508,1.1576141535220243,ESP
Hungary,1.5,0.9999999999999998,0.9703642034749169,1.1567880678249722,HUN
Slovenia,1.5,0.9855970186835876,0.9837073160879141,1.1564347782571671,SVN
Austria,1.5,0.9972134092091787,0.9720480477645217,1.1564204856579001,AUT
Croatia,1.5,0.9999999999999998,0.9688155268297908,1.156271842276597,HRV
Norway,1.5,0.9888200634536937,0.9794066812529635,1.1560755815688857,NOR
Iceland,1.5,0.9888200634536937,0.9792794997539633,1.1560331877358856,ISL
Qatar,1.5,0.9798559701868361,0.9871548175424499,1.1556702625764288,QAT
Slovakia,1.5,0.9999999999999998,0.9612634691592149,1.1537544897197383,SVK
Germany,1.5,0.9888200634536937,0.9680302522882223,1.1522834385806384,DEU
Kuwait,1.5,0.9664266169780598,0.9903210795315963,1.1522492321698854,KWT
Belgium,1.499902909479271,0.9966426616978061,0.9586962297190708,1.1517472669653828,BEL
Bulgaria,1.5,0.9969448221450035,0.9509669385623375,1.1493039202357804,BGR
Vanuatu,1.5,0.9597119403736716,0.9876902538482506,1.1491340647406407,VUT
Netherlands,1.5,0.9664266169780598,0.9750086494110749,1.1471450887963783,NLD
Greenland,1.5,,0.794150338222977,1.1470751691114884,GRL
Finland,1.5,0.9999999999999998,0.9368573154113511,1.145619105137117,FIN
South Korea,1.5,0.9568246294337845,0.980013056266101,1.1456125618999617,KOR
Denmark,1.5,0.9640429067835019,0.9691970509620375,1.144413319248513,DNK
Greece,1.5,0.9612563159926808,0.9673087606408763,1.1428550255445191,GRC
Estonia,1.5,0.9999999999999998,0.9249222782537169,1.1416407594179057,EST
Portugal,1.5,0.9520236356616472,0.9694255164595285,1.1404830507070587,PRT
Australia,1.5,0.9440331705024254,0.9714327085850273,1.1384886263624843,AUS
Sweden,1.5,0.9529972637692834,0.9585793229095131,1.137192195559599,SWE
Belarus,1.499902909479271,0.9999999999999998,0.910763457261315,1.1368887889135288,BLR
Montenegro,1.499902909479271,0.9999999999999998,0.9083369127922611,1.1360799407571773,MNE
Bangladesh,1.4952425644842875,0.9999999999999998,0.9102245366754287,1.135155700386572,BGD
Uzbekistan,1.5,0.9580332712225748,0.9460759550793003,1.1347030754339584,UZB
Lithuania,1.5,0.9999999999999998,0.9008677433678258,1.1336225811226086,LTU
Turkmenistan,1.5,0.9376542277282571,0.9580822067432163,1.1319121448238245,TKM
New Zealand,1.5,0.9932853233956116,0.9001937763320974,1.1311596999092364,NZL
United Kingdom,1.5,0.9280522401839819,0.9614947523548383,1.12984899751294,GBR
France,1.5,0.9328532339561193,0.9563595042083349,1.1297375793881514,FRA
Malawi,1.499902909479271,0.9520236356616472,0.931298393477665,1.1277416462061944,MWI
Poland,1.5,0.9084453844991687,0.9726573074248147,1.127034230641328,POL
Malaysia,1.5,0.9040808447063167,0.9722303872765278,1.125437077327615,MYS
China,1.499902909479271,0.8918265599033088,0.9807290753563404,1.1241528482463068,CHN
Kyrgyzstan,1.499902909479271,0.9384599889207836,0.932958583195815,1.123773827198623,KGZ
Kazakhstan,1.5,0.9932853233956116,0.8774936114701387,1.1235929782885836,KAZ
Romania,1.5,0.9160665424451493,0.9515654436775862,1.122543995374245,ROU
Japan,1.5,0.8740998136677243,0.9912249794144676,1.1217749310273974,JPN
Rwanda,1.499902909479271,0.9943932450353359,0.8622468852516052,1.1188476799220706,RWA
Sri Lanka,1.499902909479271,0.9798559701868361,0.8685024249731296,1.1160871015464122,LKA
Saudi Arabia,1.4812615294993365,0.8925651743297911,0.9694792622367011,1.114435322021943,SAU
Jordan,1.499417456875627,0.8824931594232093,0.9607660458630393,1.1142255540539585,JOR
Algeria,1.499417456875627,0.8992798509341793,0.9396407183284342,1.1127793420460803,DZA
Canada,1.5,0.8992798509341793,0.9207608839254273,1.1066802449532023,CAN
Albania,1.5,0.9059945275385675,0.9112952372975438,1.1057632549453704,ALB
Ghana,1.497766918023237,0.8880999143878732,0.929535345303929,1.1051340592383463,GHA
Ireland,1.5,0.8321330848902988,0.9830726259033291,1.1050685702645426,IRL
United Arab Emirates,1.5,0.8321330848902988,0.9819738411842388,1.1047023086915126,ARE
Italy,1.5,0.8265263299256349,0.9803758812907966,1.1023007370721436,ITA
Tajikistan,1.4995145473963558,0.8321330848902988,0.9650224079861417,1.0988900134242654,TJK
Latvia,1.5,0.8992798509341793,0.8832951135718479,1.0941916548353423,LVA
Argentina,1.499902909479271,0.9580332712225748,0.82263876894643,1.0935249832160918,ARG
North Macedonia,1.5,0.8134662839301001,0.9564452923960008,1.0899705254420335,MKD
Zambia,1.5,0.9664266169780598,0.7985775044666572,1.088334707148239,ZMB
Cuba,1.5,0.9328532339561193,0.8304821893337863,1.0877784744299686,CUB
Serbia,1.5,0.7943630289906161,0.959512108866176,1.084625045952264,SRB
Timor-Leste,1.5,0.9059945275385675,0.8440874345888688,1.0833606540424787,TLS
Armenia,1.497766918023237,0.8321330848902988,0.9161430386251291,1.082014347179555,ARM
Zimbabwe,1.5,0.9760286045223345,0.7644233071347841,1.0801506372190397,ZWE
