name,ind_R1,ind_R2,ind_R3,weighted_mean,iso_a3
Myanmar,1.3463173253822243,,0.3578103515309296,0.852063838456577,MMR
Nigeria,1.241736979001459,0.9488405970530727,0.35986737076832087,0.8501483156076174,NGA
Uzbekistan,1.3919939097887457,0.992698960473441,0.16469634757288787,0.8497964059450248,UZB
Solomon Is.,1.5,,0.19861331620592187,0.8493066581029609,SLB
Qatar,1.4816342066865444,0.9998895820062389,0.05288084644463836,0.8448015450458072,QAT
Papua New Guinea,1.4799213347712998,0.99410132504395,0.051293325989354654,0.8417719952682013,PNG
Guinea,1.0799657425616953,0.9987674661508595,0.4259510060964301,0.8348947382696617,GIN
Senegal,1.0814882953752458,0.9933850093280785,0.42788370426569206,0.8342523363230053,SEN
Angola,1.4982871280847556,0.9856994685643615,0.009009949229541514,0.8309988486262195,AGO
Azerbaijan,1.483442238152636,0.9964049694823162,0.009485748748553291,0.8297776521278352,AZE
Mongolia,1.4991435640423778,0.9999943950256974,-0.042924130225702184,0.8187379429474578,MNG
Venezuela,0.6198693142168369,0.9835544448987588,,0.8017118795577978,VEN
Brunei,1.5,,0.10219333619801291,0.8010966680990065,BRN
Lebanon,1.3569751950770792,0.5410305137603519,0.4999547136630881,0.7993201408335064,LBN
Zambia,1.4528008627799278,0.965720537662765,-0.07777203509657626,0.7802497884487055,ZMB
Mauritania,1.0830108481887966,0.9434004089949749,0.3124222711139739,0.7796111760992485,MRT
Somalia,1.0242022457654,0.9910191496749535,0.3159130487151446,0.7770448147184994,SOM
Jordan,1.2108101249762102,0.6089067525647662,0.4987275421155593,0.7728148065521786,JOR
Paraguay,0.8079045866903508,0.996962103927994,0.477930330104692,0.7609323402410123,PRY
Uruguay,0.8079045866903508,0.9993750453652608,0.4684157549355031,0.7585651289970383,URY
Eq. Guinea,1.3977986423904079,,0.11497212879186208,0.756385385591135,GNQ
Argentina,0.8068578316310347,0.997705323520518,0.45653147306068753,0.7536982094040802,ARG
South Korea,,0.9978560973292577,0.499183864793558,0.7485199810614078,KOR
Belize,0.7412929010975068,0.9999187278726124,0.4914305065762605,0.7442140451821265,BLZ
Guatemala,0.7468121550466282,0.9996070913013881,0.46839036086008956,0.7382698690693686,GTM
Colombia,0.7939161327158537,0.9990992806295731,0.412771527115527,0.7352623134869846,COL
Oman,1.1738882192476052,0.9998346532580735,0.021393977698783373,0.7317056167348208,OMN
Congo,1.3337562646704306,0.9767074082907098,-0.11788691629635972,0.7308589188882603,COG
Gambia,,0.9979345669694941,0.4531949859268969,0.7255647764481955,GMB
Moldova,,0.9409381437838453,0.4961342971311671,0.7185362204575062,MDA
Suriname,0.8082852248937384,0.9999859875642435,0.34283168937230446,0.7170343006100954,SUR
Saudi Arabia,1.0636934593668719,0.9997455341666622,0.08113600830830736,0.7148583339472805,SAU
Côte d'Ivoire,,0.9987383202844861,0.4224208299790576,0.7105795751317718,CIV
Timor-Leste,1.4799213347712998,,-0.06901632926083756,0.7054525027552312,TLS
Iraq,1.466789316754425,0.8465828853791162,-0.21182214908416774,0.7005166843497911,IRQ
United States of America,0.8170399035716552,0.7965063634674501,0.47902924004336334,0.6975251690274895,USA
Burkina Faso,0.9323732791981223,0.9807329008348329,0.17009916509278578,0.6944017817085802,BFA
Algeria,0.9656791219945441,0.9444507811792809,0.12987829810548523,0.6800027337597702,DZA
Togo,0.6535557952166465,0.9947873738985875,0.37115242565565565,0.6731651982569632,TGO
Bolivia,,0.9993744848678305,0.34488016146958933,0.6721273231687099,BOL
Ghana,0.6817230222673349,0.995218396422457,0.2813132112474543,0.6527515433124155,GHA
Tanzania,,0.8844091754550328,0.3903294668570755,0.6373693211560542,TZA
Peru,0.6128275074541649,0.9963326653138127,0.29151685236680314,0.6335590083782603,PER
Uganda,1.2805620757470026,0.17969911937446237,0.3775201774030172,0.6125937908414941,UGA
Germany,1.498953244940684,-0.16328158914473434,0.49873703175371326,0.6114695625165543,DEU
Djibouti,0.3262069403032418,0.9885753808790225,0.49545978845211075,0.6034140365447918,DJI
Pakistan,1.2768508532639726,0.022612988575100523,0.47647868962027373,0.5919808438197823,PAK
Guyana,0.8083803844445854,0.9999932740308369,-0.05187075941820596,0.5855009663524054,GUY
Mali,0.5690541140645816,0.9660131173213604,0.19823920656654886,0.5777688126508304,MLI
Cameroon,0.585231237708558,0.7343875542666606,0.40946163617674386,0.5763601427173207,CMR
Sudan,0.908678551037239,0.3850625753343577,0.29109900078160905,0.528280042384402,SDN
Thailand,0.006280530355896707,0.9470486867685334,0.47022961915794065,0.4745196120941236,THA
Kenya,0.1691936814058238,0.7172441798647464,0.47988147073997217,0.4554397773368475,KEN
Egypt,0.09040157330457399,0.8348595211278105,0.41580003961711015,0.44702037801649824,EGY
Central African Rep.,-0.00732728541521277,0.9937151423145013,0.33189572071557005,0.4394278592049529,CAF
Eritrea,-0.13722007232125866,0.9999333008057991,,0.43135661424227023,ERI
Benin,-0.2615936052781831,0.9990028750715685,0.46224410137799454,0.39988445705712666,BEN
India,-0.24931802321893048,0.8638916065229569,0.448236906010235,0.3542701631047538,IND
China,-0.4396371249127705,0.999820640822317,0.47202305192977534,0.3440688559464406,CHN
Dem. Rep. Congo,,0.7082364256630473,-0.13615059689022058,0.2860429143864134,COD
Bangladesh,-0.10905284527057013,0.4661912153798252,0.49000455334073467,0.28238097448332994,BGD
Turkey,1.3016874960350187,-1.0,0.48644953435753124,0.2627123434641833,TUR
S. Sudan,-0.32259087737105885,0.827159967928337,,0.2522845452786391,SSD
Niger,-0.6106388377846856,0.8569010825727617,0.3949930198264566,0.21375175487151088,NER
Laos,-0.0,,0.4118081953717985,0.20590409768589926,LAO
Libya,0.1030577935672144,0.9987624216739872,-0.5,0.20060673841373386,LBY
Ethiopia,-0.7745987438939288,0.5069875813386864,0.40387316372273435,0.045420667055830644,ETH
Iran,0.9728160883080632,-0.9197547039046214,0.0011353273906509198,0.018065570598030895,IRN
Hungary,-1.4457590560172555,0.9801752058917248,0.49340764226064654,0.00927459737837194,HUN
Belarus,-1.4443316627545517,0.9889497931624358,0.4694714297068098,0.004696520038231289,BLR
Slovakia,-1.4443316627545517,0.9458766866418609,0.4962947264357017,-0.0007200832256630448,SVK
Romania,-1.4457590560172555,0.9407997009185712,0.4812504051039523,-0.007902983331577332,ROU
Chad,-0.8673793059696757,0.6677573012497131,0.15031485145429702,-0.016435717755221863,TCD
Poland,-1.44499777961048,0.4556846910496126,0.4831203617482091,-0.16873090893755274,POL
Russia,-1.5,0.2838681272856034,0.1967145455843528,-0.3398057757100146,RUS
Taiwan,,,,,TWN
