name,ind_R1,ind_R2,ind_R3,weighted_mean,iso_a3
Fr. S. Antarctic Lands,1.5,,,1.5,ATF
Greenland,1.5,,,1.5,GRL
Falkland Is.,1.5,,,1.5,FLK
Antarctica,1.5,,,1.5,ATA
North Korea,1.4991435640423778,,,1.4991435640423778,PRK
W. Sahara,1.4941952673983379,,,1.4941952673983379,ESH
Cuba,1.5,0.9999024734471349,,1.2499512367235674,CUB
Yemen,1.4816342066865444,0.9565849900469668,,1.2191095983667557,YEM
Turkmenistan,1.3925648670938273,0.9999921530359763,,1.1962785100649018,TKM
Kuwait,1.353834929899131,0.9996166197577026,,1.1767257748284168,KWT
Syria,1.190826619298357,0.9926457132175663,,1.0917361662579617,SYR
Puerto Rico,1.5,,0.5,1.0,PRI
Bahamas,1.5,0.9999943950256974,0.4997582685923364,0.9999175545393446,BHS
Sri Lanka,1.5,0.9997175092951492,0.49863611216595316,0.9994512071537008,LKA
Iceland,1.5,0.9970629934654407,0.4999982474277399,0.9990204136310602,ISL
Jamaica,1.5,0.9999826245796619,0.4925017736588484,0.9974947994128368,JAM
Slovenia,1.5,0.9951208698695919,0.496898094236047,0.9973396547018796,SVN
Luxembourg,1.4984774471864493,0.9933009347135395,0.4999221530231315,0.9972335116410402,LUX
Japan,1.5,0.9913397542050619,0.49922495800197036,0.9968549040690108,JPN
Haiti,1.498858085389837,,0.4946318746878911,0.996744980038864,HTI
Morocco,1.4986677662881431,0.9955681468189389,0.4935822921084766,0.9959394017385196,MAR
Vanuatu,1.5,,0.49069267682653606,0.995346338413268,VUT
Bosnia and Herz.,1.4981919685339085,0.9998464237041089,0.4866731778433468,0.9949038566937881,BIH
Cyprus,1.5,0.9835886352420046,0.4997908638358087,0.9944598330259377,CYP
Cambodia,1.4945759056017256,0.9999865480616738,0.48631461130360093,0.9936256883223334,KHM
North Macedonia,1.484393833661105,0.9960400856552173,0.4977566688539029,0.9927301960567417,MKD
Costa Rica,1.4981919685339085,0.9921037122025055,0.4874922419155585,0.9925959742173243,CRI
Croatia,1.4981919685339085,0.9884324540343064,0.4888391669457952,0.9918211965046702,HRV
New Zealand,1.5,0.9989961491024054,0.4755202639476868,0.9915054710166974,NZL
Montenegro,1.4981919685339085,0.9818185843572453,0.489560076831116,0.9898568765740899,MNE
Philippines,1.5,0.9995202141996979,0.46768013757858307,0.9890667839260937,PHL
Israel,1.4734504853137094,0.9993234796016769,0.49276764389912253,0.9885138696048363,ISR
Fiji,1.5,0.9999971975128487,0.46308815668755354,0.9876951180668008,FJI
Portugal,1.5,0.9664951451113835,0.4952254103096232,0.9872401851403355,PRT
Albania,1.484393833661105,0.9985001088766259,0.47636424434398006,0.986419395627237,ALB
Latvia,1.4998096808983061,0.9781097728612189,0.48091053805740347,0.9862766639389763,LVA
Lithuania,1.4995242022457653,0.9620890748121143,0.4953120669321605,0.9856417813300133,LTU
Serbia,1.4998096808983061,0.9851350476520903,0.4713881216914719,0.9854442834139561,SRB
Denmark,1.4992387235932245,0.9620139681564595,0.4944512820315681,0.9852346579270841,DNK
Finland,1.5,0.9610157222331674,0.49265478859008244,0.9845568369410832,FIN
Ireland,1.5,0.9544562208068417,0.49834539669654737,0.9842672058344629,IRL
