name,ind_G1,ind_G2,ind_G3,ind_G4,ind_G5,ind_G6,ind_G7,weighted_mean,iso_a3
Denmark,1.2345187001839362,0.7851841856699502,1.0,0.9726448885843288,1.0,0.21143541215368822,0.5,0.814826169513129,DNK
Sweden,1.3865726548129984,0.8977196059910941,0.8398092337620109,0.8735973688089347,0.5636038219222101,0.25785041810420417,0.4835560123329907,0.757529873676349,SWE
New Zealand,1.2259350091968118,0.5320469572257456,0.8875612587035577,0.893256494598814,0.7103500476660318,0.3231864174241128,0.460945529290853,0.7190402448722751,NZL
Taiwan,1.4006744328632739,0.6702199433274862,0.410776056344611,0.6701736652709274,,,0.3910585817060638,0.7085805359024725,TWN
Norway,1.0033721643163707,0.7905815679395491,0.8426751838590423,0.9075663451127749,0.44085041328509966,0.2342108441009536,0.486639260020555,0.672270825519192,NOR
Luxembourg,1.1781115879828328,0.7633247874780731,0.7561855799824428,0.9108526381873876,0.5003819168838619,0.044217687074829426,0.4753340184994861,0.6612011737269877,LUX
Finland,1.0199264255058245,0.6197544191067332,0.9268444263023237,1.0,0.18640845980651366,0.24285714285714288,0.4753340184994861,0.6387321274397176,FIN
Germany,1.4251992642550584,1.0,0.7255519382352213,0.7996724265296682,-0.3578577926348936,0.0700976042590955,0.4547790339157245,0.5882060677942678,DEU
Switzerland,1.2572041692213367,0.8704628255296181,0.8152257755903958,0.9026833230216025,-0.4200752258777236,0.17755102040816328,0.4928057553956834,0.5851225204698681,CHE
Australia,0.8028816676885346,0.8302523276211038,0.7002442943924772,0.7888041557749537,0.35584837947686987,0.12711177186106282,0.44964028776978426,0.5792546977978266,AUS
Netherlands,0.8923973022685467,0.4324652543516394,0.7719553598179627,0.8582187640061625,0.3990692758073553,0.16394557823129308,0.4362795477903392,0.5649044403247571,NLD
Belgium,0.8838136112814226,0.6704898124409662,0.5737016522434661,0.7128869948468659,0.32724714689436407,0.19659863945578293,0.4835560123329907,0.5497562670708369,BEL
Estonia,1.06591048436542,0.7940898664147888,0.5970123128080114,0.7493734687728997,0.2309444307436339,-0.07971307334815175,0.4835560123329907,0.5487390717270846,EST
Iceland,0.7507664009809932,0.5463500202401836,0.6077415700182978,0.8797017922807209,0.32337402180014907,0.2774538386783282,0.4260020554984585,0.5444842427853045,ISL
United Kingdom,0.5527283874923359,0.5514775333963027,0.6324582761139395,0.7442392922319343,0.5065076749270887,0.06437389770723101,0.44552929085303195,0.49961633610312334,GBR
